S No,Name of Disease,Fruit/Crop/Plant,Reason,Symptoms,Consequences,Duration,Location,Severity of Diease,Natural Remedies,Insectisides/Pesticides,Precautions,Reference
,,In which it can be found,As in what causes this disease,How does it affect plant like by some bite marks and all.,What is harm from it? As in if it damages fruit/crop or stops their growth and all.,Till how long this disease can be seen in that plant,In India where it is most common,"Can be in scale of 1-5 considering points like if it can spread to others, can be cured, cannot be cured and all",,,Optimal way of growing to prevent happening of thiis disease,
1,Apple Scab,Apple,Fungal,"Dark, irregularly-shaped lesions develop on the foliage, blossoms and developing fruits
The fungal disease forms pale yellow or olive-green spots on the upper surface of leaves and fruits. 
Dark, velvety spots may appear on the lower surface of the leaf.

","Rarely kills its host.
Scabby spots are sunken and tan and may have velvety spores in the center. 
As these spots mature, they become larger and turn brown and corky. 
Infected fruits and leaves become distorted and may crack allowing entry of secondary organisms. 
Severely affected fruits and leaves may drop, especially when young.",,Places that have Apple Cultivations,"Rarely kills a plant. If severity level is high in some case, it makes the plant prone to other infections.","With or without chemicals, there is no viable cure for an infected tree during the season once damage is present.
Spray the apple tree foliage with a fertilizer mixture containing 5% urea.
Can also churn the fallen leaves so that the fungus cannot grow in the suitable weather.","Benzimidazole fungicides
Organocide Plant Doctor
Bonide Orchard Spray","Choose resistant varieties when possible.
Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring.
Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.
For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop.",Wikipedia
2,Black rot,Apple,"Fungal
Infects fruits, leaves and bark.",Often limited to leaf symptoms such as purple spots on upper leaf surfaces,"As these spots age, the margins remain purple, but the centers dry out and turn yellow to brown. 
Over time, the spots expand and heavily infected leaves drop from the tree. 
Infected branches or limbs will show characteristic red-brown sunken areas that expand each year.",,,"Fruit infection is the most destructive form of this pathogen and begins with infected flowers, before fruits expand.
When fruits are tiny and green, you’ll notice red flecks or purplish pimples that enlarge as the fruit does. 
Mature fruit lesions take on a bulls-eye appearance, with bands of brown and black areas expanding outward from a central point in each lesion. 
Commonly, black rot disease causes blossom end rot or mummification of the fruits on the tree.","Treating black rot on apple trees starts with sanitation because fungal spores overwinter on fallen leaves, mummified fruits, dead bark and cankers, it’s important to keep all the fallen debris and dead fruit cleaned up and away from the tree.
During the winter, check for red cankers and remove them by cutting them out or pruning away the affected limbs at least six inches beyond the wound. 
Destroy all infected tissue immediately and keep a watchful eye out for new signs of infection.","general purpose fungicides, like copper-based sprays and lime sulfur, can be used to control black rot, nothing will improve apple black rot like removing all sources of spores.",make sure to remove any injured or insect-invaded fruits to avoid re-infection,
3,Cedar Apple Rust,"Junipers, Apple, Crab Apple",Fungal,"On Juniper - Reddish brown gall on young twigs
On Apple and Crab Apples - pale yellow pinhead sized spots on the upper surface of the leaves shortly after bloom. theydevelop into orange spots that are noticeable. The Orange spots might develop on Fruits as well.",Heavily infected leaves may drop prematurely.,,,Mild. ,"Remove cedars located in one mile radius of Apple trees.
",Fungicides can be sprayed four times at an interval of 7 to 10 days.,"Choose resistant cultivars when available.
Rake up and dispose of fallen leaves and other debris from under trees.",https://www.planetnatural.com/pest-problem-solver/plant-disease/cedar-apple-rust/
4,Powdery Mildew,Cherry,"Fungal
Typically, it takes 1/10th of an inch of rain or irrigation and temperatures of 50°F or more for spring primary infections to occur","Light roughly-circular, powdery looking patches on young, susceptible leaves (newly unfolded, and light green expanding leaves). Older leaves develop an age-related (ontogenic) resistance to powdery mildew and are naturally more resistant to infection than younger leaves.","As the season progresses and infection is spread by wind, leaves may become distorted, curling upward.
Severe infections may cause leaves to pucker and twist. 
Newly developed leaves on new shoots become progressively smaller, are often pale and may be distorted.",,,Rarely kills a tree.,"Manage irrigation.
Select resistant varieties
Prune out and destroy severely infected shoots as they appear. It is important to remove the early-spring
infected shoots.
Milk sprays, made with 40% milk and 60% water, are an effective home remedy for use on a wide range of plants. For best results, spray plant leaves as a preventative measure every 10-14 days.","For chemical management see the WSU Crop Protection Guide for the appropriate control program.
Powdery mildew and scab are usually treated with the same fungicide and timing.",Plant resistant cultivars in sunny locations whenever possible.,https://www.planetnatural.com/pest-problem-solver/plant-disease/powdery-mildew/
5,Cercospora_leaf_spot Gray_leaf_spot,Corn(Maize),"Foliar Fungal disease
Poor airflow, low sunlight, overcrowding, improper soil nutrient and irrigation management, and poor soil drainage can all contribute to the propagation of the disease.","Leaf lesions, discoloration (chlorosis), and foliar blight.
Distinct symptoms are rectangular, brown to gray necrotic lesions that run parallel to the leaf, spanning the spaces between the secondary leaf veins",,,,Severity depends on the weather conditions,,"Management techniques include crop resistance, crop rotation, residue management, use of fungicides, and weed control.",,
6,Common rust,Corn(Maize),Fungal,"Often appear after silking.
Small, round to elongate brown pustules form on both leaf surfaces and other above ground parts of the plant.

As the pustules mature they become brown to black.","As the pustules mature they become brown to black.

If disease is severe, the leaves may yellow and die early.

",,"cool, moist weather (60 – 70◦ F)","If disease is severe, the leaves may yellow and die early.","Use of resistant hybrids.
Timely planting of corn early during the growing season may help to avoid high inoculum levels or environmental conditions that would promote disease development.",,,
7,Northern Leaf Blight,Corn(Maize),Foliar Fungal disease.,"Cigar-shaped or elliptical necrotic gray-green lesions on the leaves that range from one to seven inches long.
These lesions may first appear as narrow, tan streaks that run parallel to the leaf veins.",diseased corn plants are more susceptible to stalk rot than are healthy plants,"One complete cycle on susceptible plants takes approximately 10 to 14 days, whereas it takes about 20 days on plants with resistance.",,"Relatively localized.
In conditions with high humidity, the fungus will produce new spores at the leaf surface, which are spread by rain or wind through the crop and create cycles of secondary infection.",,,"Ways to change cropping practices to control the disease include reducing the amount of infected residue left in a field, managing weeds to improve airflow and reduce humidity, and encouraging residue decomposition with tillage.",
8,Grape_black_rot,en.wikipedia.org/wiki/Black_rot,,,,,,,,,,
9,Esca_(Black_Measles),,,,,,,,,,,
